"Site","Datetime","range_WT","Solar_daily","WL_daily_max","Air_tmin_7day","GWT_min","ppt_7day","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d"
"Pint","6/24/2024",0.48,30.48191895,0.308354,6.785714,10.161,2.81,11.7,0.046304,0.098,0.051,54
"Pint","6/25/2024",0.288,30.36095947,0.306602,7.014286,10.259,0.91,17.8,0.060688,0,0.073,24.75
"Pint","6/26/2024",0.288,24.9696,0.292709,7.942857,10.259,0.91,19.3,0.027887,0.098,0.032,11.25
"Pint","6/27/2024",0.384,19.7856,0.308765,8.028571,10.357,1.27,10.6,0.0268,0.098,0.027,13.5
"Pint","6/28/2024",0.385,29.78208105,0.307559,7.385714,10.455,1.54,7,0.051547,0.098,0.058,15.75
"Pint","6/29/2024",0.096,19.76832026,0.295823,6.757143,10.553,1.54,15.3,0.038661,0.098,0.049,22.5
"Pint","6/30/2024",0.192,25.65215947,0.290142,6.685714,10.651,1.87,11.2,0.024846,0,0.034,33.75
"Pint","7/1/2024",0.192,29.12544053,0.292231,7.271429,10.651,1.62,8.3,0.038203,0.097,0.055,49.5
"Pint","7/2/2024",0.096,30.20544053,0.29422,7.885714,10.748,1.62,11.5,0.041809,0.098,0.057,65.25
"Pint","7/3/2024",0.192,30.25728105,0.296686,7.657143,10.846,1.62,13.1,0.049025,0,0.062,81.75
"Pint","7/4/2024",0.288,30.0672,0.299522,7.614286,10.846,1.26,17,0.062501,0.098,0.079,82.5
"Pint","7/5/2024",0.288,30.20544053,0.278161,7.928571,10.944,0.99,21,0.048616,0.097,0.071,67.5
"Pint","7/6/2024",0.383,30.33504053,0.274532,8.928571,11.041,0.99,19.7,0.046175,0,0.078,46.5
"Pint","7/7/2024",0.287,30.08448105,0.260251,9.6,11.041,0.66,18.1,0.036737,0.098,0.075,33
"Pint","7/8/2024",0.287,29.58335947,0.258714,10.17143,11.139,0,18.2,0.037883,0.097,0.076,30
"Pint","7/9/2024",0.382,29.808,0.244731,11.22857,11.236,0,18.9,0.028469,0.098,0.074,25.5
"Pint","7/10/2024",0.286,29.43648105,0.236032,12.67143,11.334,0,18.5,0.019049,0,0.063,22.5
"Pint","7/11/2024",0.096,29.69568105,0.244522,13.31429,11.334,0,18.2,0.020672,0.097,0.062,43.5
"Pint","7/12/2024",0.191,29.65248105,0.249081,13.55714,11.431,0,16.2,0.028667,0.097,0.067,36
"Pint","7/13/2024",0.095,29.35871895,0.251608,13.04286,11.528,0,18.6,0.030646,0.097,0.072,39
"Pint","7/14/2024",0.095,29.15135947,0.245431,12.8,11.625,0,18.7,0.025532,0.097,0.063,18
"Pint","7/15/2024",0.191,29.48831895,0.24602,12.38571,11.722,0,16.3,0.027048,0.097,0.065,33
"Pint","7/16/2024",0.191,25.92864053,0.244093,11.64286,11.819,0,16.5,0.029512,0,0.07,45
"Pint","7/17/2024",0.287,24.00191895,0.239842,11.01429,11.819,0,21.1,0.023923,0.097,0.056,45
"Pint","7/18/2024",0.191,28.80575947,0.246815,11.21429,11.916,0,16.1,0.030998,0,0.065,33
"Pint","7/19/2024",0.096,28.8576,0.244316,11.38571,11.916,0,15.8,0.034505,0.097,0.067,16.5
"Pint","7/20/2024",0.095,28.60704053,0.243314,11.7,12.013,0,16.2,0.035804,0,0.068,13.5
"Pint","7/21/2024",0.191,26.88768105,0.241815,11.67143,12.013,0,19.7,0.031387,0,0.035,15.3
"Pint","7/22/2024",0.095,28.36511895,0.2524,11.65714,12.013,0,13,0.023904,0.097,0.042,14.4
"Pint","7/23/2024",0.381,29.09088105,0.256521,11.12857,12.11,0,13.5,0.039881,0,0.064,10.8
"Pint","7/24/2024",0.382,27.11231895,0.251066,10.25714,12.11,0,20.1,0.039403,0.097,0.058,7.2
"Pint","7/25/2024",0.096,28.34784053,0.251933,9.557143,12.207,0,16.8,0.030078,0,0.05,3.6
"Pint","7/26/2024",0.382,28.71071895,0.255637,8.728571,12.207,0,12.4,0.040052,0.097,0.059,2.2
"Pint","7/27/2024",0.287,27.7776,0.250553,7.842857,12.304,0,18.7,0.032449,0,0.06,3
"Pint","7/28/2024",0.096,23.86368105,0.247231,7.171429,12.304,0,15.3,0.029253,0,0.051,6
"Pint","7/29/2024",0,7.776,0.263607,6.8,12.304,0,12.9,0.031241,0,0.022,9
"Pint","7/30/2024",0,25.3152,0.275733,7.371429,12.207,3.61,5.9,0.029803,0.097,0.042,12
"Pint","7/31/2024",0.192,27.18144053,0.265526,8.014286,12.207,3.61,9.4,0.035049,0,0.063,15
"Pint","8/1/2024",0.382,27.54431895,0.246168,8.471429,12.207,3.61,16.9,0.032498,0,0.063,11
"Pint","8/2/2024",0.764,26.34335947,0.227011,9.914286,12.207,3.61,18.3,0.023996,0,0.048,24
"Pint","8/3/2024",0.476,22.62815947,0.235935,11.34286,12.207,3.61,14.3,0.026596,0,0.032,31.5
"Pint","8/4/2024",0.286,27.32831895,0.253151,12.17143,12.207,3.61,11.3,0.037462,0.097,0.069,40.5
"Pint","8/5/2024",0.096,27.35424053,0.266287,12.67143,12.304,3.61,17.6,0.039778,0,0.07,43.5
"Pint","8/6/2024",0.382,27.61344053,0.252582,12.64286,12.304,0,16.7,0.040675,0.097,0.059,30
"Pint","8/7/2024",0.382,27.52704053,0.249596,12.44286,12.304,0,14.9,0.043527,0.097,0.066,24
"Pint","8/8/2024",0.191,25.55711895,0.239285,12.28571,12.401,0,19,0.037844,0,0.061,7
"Pint","8/9/2024",0.191,26.61984053,0.229436,12.04286,12.401,0,14.9,0.031222,0.096,0.054,12
"Pint","8/10/2024",0.286,26.53344053,0.229823,11.7,12.497,0,15.5,0.026431,0,0.049,15
"Pint","8/11/2024",0.286,26.34335947,0.234089,11.58571,12.497,0,14.1,0.034682,0,0.054,18.28571429
"Pint","8/12/2024",0.191,25.5312,0.236517,11.3,12.497,0,14.4,0.023378,0,0.033,21.85714286
"Pint","8/13/2024",0.286,25.95455947,0.241407,11,12.497,0.75,9.4,0.016121,0,0.026,25.71428571
"Pint","8/14/2024",0.287,26.11008105,0.24614,10.77143,12.497,0.75,7.8,0.034875,0,0.046,29.57142857
"Pint","8/15/2024",0.095,19.43135947,0.234099,10.61429,12.497,0.75,12.9,0.015223,0,0.026,33.42857143
"Pint","8/16/2024",0.095,21.93695947,0.239345,10.14286,12.497,0.75,6.6,0.024442,0,0.044,37.28571429
"Pint","8/17/2024",1.822,21.91104053,0.61165,9.571429,12.497,0.75,12,0.412831,0.097,0.161,41.14285714
"Pint","8/18/2024",0.578,25.30655947,0.466231,9,12.497,12.54,17.1,0.151282,0,0.065,45.71428571
"Pint","8/19/2024",0.192,24.5808,0.316694,8.671429,12.497,12.54,11,0.0452,0,0.05,51
"Pint","8/20/2024",0,23.43168105,0.292914,8.585714,12.497,11.79,11.2,0.033778,0.097,0.047,57
"Pint","8/21/2024",0.192,23.30208105,0.279018,8.585714,12.497,11.79,12.8,0.031318,0.097,0.044,63
"Pint","8/22/2024",0.096,19.2672,0.331844,8.714286,12.497,11.79,10.2,0.073746,0,0.058,69
"Pint","8/23/2024",0.192,12.66624053,0.409185,8.4,12.497,25.27,6,0.060343,0,0.041,75
"Pint","8/24/2024",0.384,15.40512026,0.348636,7.757143,12.497,29.75,7,0.04443,0,0.034,81
"Pint","8/25/2024",0.193,22.7232,0.32148,7.342857,12.497,17.96,6.8,0.043572,0,0.048,87
"Pint","8/26/2024",0,23.76,0.300993,7.085714,12.497,17.96,13.4,0.040117,0,0.058,93
"Pint","8/27/2024",0.096,19.75104053,0.29049,7.157143,12.401,18.16,16.3,0.030066,0.096,0.033,94
"Pint","8/28/2024",0.097,24.48575947,0.290762,6.5,12.401,18.16,11.3,0.045319,0,0.063,90
"Pint","8/29/2024",0.096,24.22655947,0.278074,5.442857,12.401,18.16,19.2,0.052082,0,0.062,81
"Pint","8/30/2024",0.096,23.92415947,0.268714,5.514286,12.401,4.68,16.3,0.056321,0,0.068,72
"Pint","8/31/2024",0.096,23.43168105,0.253121,6.414286,12.304,0.2,19.6,0.049599,0.097,0.059,72
"Pint","9/1/2024",0.289,20.52,0.240722,7.785714,12.304,0.2,17.8,0.042428,0,0.046,77
"Pint","9/2/2024",0.192,21.57407974,0.247329,8.657143,12.207,0.2,18,0.036345,0.097,0.031,87
"Pint","9/3/2024",0.192,22.51584053,0.255774,8.9,12.207,0,10.7,0.039641,0,0.043,93
"Pint","9/4/2024",0.096,22.5504,0.255736,9.785714,12.207,0,12.9,0.051047,0,0.067,94
"Pint","9/5/2024",0.192,22.23071895,0.234413,11.28571,12.207,0,16.7,0.043543,0,0.046,99
"Pint","9/6/2024",0.287,21.71232026,0.23464,12.4,12.207,0,14.3,0.040165,0,0.036,91
"Pint","9/7/2024",0.192,19.7424,0.226431,13.37143,12.207,0,15.3,0.030385,0,0.032,75
"Pint","9/8/2024",0.191,21.0816,0.237599,13.44286,12.207,0,13.6,0.032386,0,0.041,42
"Pint","9/9/2024",0.096,21.11615947,0.239688,13.45714,12.207,0,14.5,0.039348,0,0.047,52.4
"Pint","9/10/2024",0.287,20.8224,0.236946,13.55714,12.207,0,13.9,0.038785,0.097,0.044,106.2
"Pint","9/11/2024",0.288,8.182079736,0.28823,13.44286,12.304,0.3,13.4,0.064046,0,0.038,203.4
"Pint","9/12/2024",0.191,10.48032026,0.294805,12.85714,12.304,7.67,5,0.027463,0,0.031,300.6
"Pint","9/13/2024",0.096,19.9152,0.270767,11.57143,12.304,8.21,4.9,0.041755,0.097,0.042,397.8
"Pint","9/14/2024",0.192,19.2672,0.255645,10.02857,12.401,8.21,11.3,0.031006,0,0.041,532.4571429
"Pint","9/15/2024",0.096,20.088,0.289253,8.785714,12.401,10.95,9.9,0.038803,0,0.035,704.5714286
"Pint","9/16/2024",0.289,15.61247974,0.273892,7.7,12.401,10.95,8.5,0.051641,0,0.044,914.1428571
"Pint","9/17/2024",0.385,15.44832026,0.265534,7.071429,12.401,10.95,9.6,0.028121,0,0.028,1123.714286
"Pint","9/18/2024",0.193,18.86112026,0.256681,6.928571,12.401,10.69,5.7,0.028969,0,0.033,1333.285714
"Pint","9/19/2024",0.097,19.15487974,0.257137,6.728571,12.401,3.32,9.7,0.028605,0,0.037,1542.857143
"Pint","9/20/2024",0.097,19.21535947,0.261693,6.4,12.304,2.78,12.6,0.033468,0.097,0.037,1752.428571
"Pint","9/21/2024",0.289,18.19584053,0.266967,5.914286,12.304,2.78,11.3,0.056221,0,0.061,1803.642857
"Pint","9/22/2024",0.194,18.39455947,0.264395,5.571429,12.207,0.04,16,0.05426,0.097,0.056,1696.5
"Pint","9/23/2024",0.194,15.32735947,0.255064,6.114286,12.207,0.04,13.1,0.045333,0,0.051,1592.25
"Pint","9/24/2024",0,17.74655947,0.243691,6.642857,12.11,0.04,11.7,0.04087,0.097,0.046,1649.25
"Pint","9/25/2024",0.194,9.927360132,0.334978,7.5,12.11,0,15.5,0.127399,0,0.061,1867.5
"Pint","9/26/2024",0.097,17.34047974,0.329856,7.285714,12.013,13.58,14.3,0.075456,0.097,0.053,2085.75
"Pint","9/27/2024",0.097,16.82207974,0.264899,7,12.013,13.88,15.1,0.041956,0,0.043,2162.25
"Pint","9/28/2024",0.097,16.70975947,0.260138,7.971429,11.916,13.88,9.9,0.040526,0.097,0.046,2097
"Pint","9/29/2024",0.096,17.77247974,0.267525,7.957143,11.916,13.88,18.7,0.037358,0,0.035,2214
"Pint","9/30/2024",0.388,17.3232,0.271671,6.928571,11.916,13.88,11.5,0.058866,0,0.059,2100
