Site,Datetime,mean_WT,max_WT,min_WT,range_WT,Solar_daily,Solar_2d,Solar_3d,Solar_7d,WL_daily_mean,WL_daily_max,WL_daily_min,WL_daily_range,WL_mean_2day,WL_mean_3day,WL_mean_7day,WL_max_2day,WL_max_3day,WL_max_7day,WL_min_2day,WL_min_3day,WL_min_7day,Air_tmin,Air_tmean,Air_tmax,Air_trange,Air_tmean_2day,Air_tmean_3day,Air_tmean_7day,Air_tmax_2day,Air_tmax_3day,Air_tmax_7day,Air_tmin_2day,Air_tmin_3day,Air_tmin_7day,GWT_mean,GWT_max,GWT_min,GWT_range,GWT_mean_2day,GWT_mean_3day,GWT_mean_7day,GWT_max_2day,GWT_max_3day,GWT_max_7day,GWT_min_2day,GWT_min_3day,GWT_min_7day,GWL_mean,GWL_max,GWL_min,GWL_range,GWL_mean_2day,GWL_mean_3day,GWL_mean_7day,GWL_max_2day,GWL_max_3day,GWL_max_7day,GWL_min_2day,GWL_min_3day,GWL_min_7day,ppt,ppt_7day,Water_area_m2_3d,Elev_m,Size_km2
Anvil,6/11/2023,13.98292,15.664,12.11,3.554,31.07808105,29.00448105,22.26240066,25.71387461,0.591583,0.607,0.574,0.033,0.598042,0.601486,0.614649,0.6095,0.61,0.627,0.5855,0.591,0.601143,5.8,12.6,19.4,13.6,11,12.06667,14.9,15.75,16.8,21.68571,6.25,7.333333,8.085714,7.535833,7.682,7.381,0.301,7.3995,7.303722,6.747304,7.481,7.380333,6.831429,7.28,7.179333,6.600143,0.045583,0.061,0.024,0.037,0.047167,0.048736,0.052321,0.061,0.059,0.066571,0.0285,0.034333,0.035143,0,4.01,8987.25,1176.813373,0.071
Anvil,6/12/2023,14.44383,15.951,13.076,2.875,30.79295947,30.93552026,29.60064053,25.58921167,0.58,0.595,0.559,0.036,0.585792,0.592028,0.606536,0.601,0.604667,0.618714,0.5665,0.576667,0.593,6.2,15.5,24.7,18.5,14.05,12.5,15.14286,22.05,18.73333,22.05714,6,6.233333,8.185714,7.903375,7.983,7.682,0.301,7.719604,7.567458,7.013107,7.8325,7.648333,7.105571,7.5315,7.414,6.845857,0.044417,0.058,0.021,0.037,0.045,0.04625,0.048595,0.0595,0.06,0.061714,0.0225,0.026,0.031571,0,4.01,8537.25,1176.813373,0.071
Anvil,6/13/2023,14.50813,15.569,13.173,2.396,30.34368105,30.56832026,30.73824053,25.4225831,0.57525,0.586,0.559,0.027,0.577625,0.582278,0.598893,0.5905,0.596,0.610429,0.559,0.564,0.585143,9.9,17.7,25.4,15.5,16.6,15.26667,15.31429,25.05,23.16667,21.95714,8.05,7.3,8.628571,8.202875,8.282,7.983,0.299,8.053125,7.880694,7.307732,8.1325,7.982333,7.407857,7.8325,7.682,7.12,0.047917,0.061,0.03,0.031,0.046167,0.045972,0.047845,0.0595,0.06,0.06,0.0255,0.025,0.031571,0,4.01,8196.75,1176.813373,0.071
Anvil,6/14/2023,13.32742,14.421,11.819,2.602,30.72384053,30.53376079,30.62016035,25.42011476,0.567708,0.578,0.559,0.019,0.571479,0.574319,0.591315,0.582,0.586333,0.602143,0.559,0.559,0.578857,4.9,12.3,19.7,14.8,15,15.16667,14.31429,22.55,23.26667,20.91429,7.4,7,7.685714,8.373667,8.382,8.282,0.1,8.288271,8.159972,7.595214,8.332,8.215667,7.680857,8.1325,7.982333,7.422286,0.051667,0.065,0.039,0.026,0.049792,0.048,0.048387,0.063,0.061333,0.059714,0.0345,0.03,0.033286,0,4.01,7843.5,1176.813373,0.071
Anvil,6/15/2023,13.13021,14.517,11.722,2.795,31.38911895,31.05647974,30.81888018,27.14811457,0.555708,0.565,0.543,0.022,0.561708,0.566222,0.583304,0.5715,0.576333,0.593429,0.551,0.553667,0.570429,3.4,8.3,13.3,9.9,10.3,12.76667,12.85714,16.5,19.46667,19.07143,4.15,6.066667,6.628571,8.4315,8.481,8.382,0.099,8.402583,8.336014,7.831798,8.4315,8.381667,7.895571,8.332,8.215667,7.695286,0.048792,0.059,0.033,0.026,0.050229,0.049458,0.048429,0.062,0.061667,0.06,0.036,0.034,0.032286,0.44,4.45,7490.25,1176.813373,0.071
Anvil,6/16/2023,13.65108,15.187,11.916,3.271,25.43615947,28.41263921,29.18303965,29.52781737,0.548333,0.563,0.53,0.033,0.552021,0.55725,0.574726,0.564,0.568667,0.586571,0.5365,0.544,0.560143,3.5,11.3,19.1,15.6,9.8,10.63333,12.44286,16.2,17.36667,19.1,3.45,3.933333,5.771429,8.547667,8.581,8.481,0.1,8.489583,8.450944,8.036869,8.531,8.481333,8.095857,8.4315,8.381667,7.91,0.047542,0.066,0.027,0.039,0.048167,0.049333,0.04781,0.0625,0.063333,0.061571,0.03,0.033,0.029571,0,3.16,7330.607143,1176.813373,0.071
Anvil,6/17/2023,13.66538,14.421,12.883,1.538,28.82304053,27.1296,28.54943965,29.79812586,0.541083,0.549,0.534,0.015,0.544708,0.548375,0.565667,0.556,0.559,0.577571,0.532,0.535667,0.551143,5.9,14.5,23,17.1,12.9,11.36667,13.17143,21.05,18.46667,20.65714,4.7,4.266667,5.657143,8.791833,8.879,8.581,0.298,8.66975,8.590333,8.25525,8.73,8.647,8.324286,8.531,8.481333,8.110286,0.050125,0.056,0.044,0.012,0.048833,0.048819,0.048006,0.061,0.060333,0.060857,0.0355,0.034667,0.031143,0,0.44,7364.571429,1176.813373,0.071
Anvil,6/18/2023,12.08521,13.365,11.334,2.031,14.78304053,21.80304053,23.01408018,27.47026293,0.552,0.573,0.542,0.031,0.546542,0.547139,0.560012,0.561,0.561667,0.572714,0.538,0.535333,0.546571,2.8,9,15.3,12.5,11.75,11.6,12.65714,19.15,19.13333,20.07143,4.35,4.066667,5.228571,8.924333,8.978,8.779,0.199,8.858083,8.754611,8.453607,8.9285,8.812667,8.509429,8.68,8.613667,8.31,0.0615,0.072,0.049,0.023,0.055813,0.053056,0.05028,0.064,0.064667,0.062429,0.0465,0.04,0.034714,0.94,1.38,7592.142857,1176.813373,0.071
Anvil,6/19/2023,11.33958,12.497,10.161,2.336,9.642239868,12.2126402,17.74944031,24.44873156,0.569417,0.575,0.559,0.016,0.560708,0.554167,0.5585,0.574,0.565667,0.569857,0.5505,0.545,0.546571,0.9,4.5,8.1,7.2,6.75,9.333333,11.08571,11.7,15.46667,17.7,1.85,3.2,4.471429,8.650958,8.779,8.481,0.298,8.787646,8.789042,8.560405,8.8785,8.878667,8.623143,8.63,8.613667,8.424143,0.064333,0.071,0.055,0.016,0.062917,0.058653,0.053125,0.0715,0.066333,0.064286,0.052,0.049333,0.039571,12.22,13.6,7819.714286,1176.813373,0.071
Anvil,6/20/2023,11.29996,12.11,10.455,1.655,21.41855947,15.53039967,15.28127996,23.17371419,0.560458,0.575,0.551,0.024,0.564938,0.560625,0.556387,0.575,0.574333,0.568286,0.555,0.550667,0.545429,1.1,4.5,7.9,6.8,4.5,6,9.2,8,10.43333,15.2,1,1.6,3.214286,8.456333,8.581,8.382,0.199,8.553646,8.677208,8.596613,8.68,8.779333,8.665857,8.4315,8.547333,8.481143,0.058583,0.071,0.049,0.022,0.061458,0.061472,0.054649,0.071,0.071333,0.065714,0.052,0.051,0.042286,6.88,20.48,8047.285714,1176.813373,0.071
Anvil,6/21/2023,11.2725,12.883,9.472,3.411,31.99391895,26.70623921,21.01823943,23.35515397,0.545917,0.563,0.531,0.032,0.553188,0.558597,0.553274,0.569,0.571,0.566143,0.541,0.547,0.541429,1.5,6.4,11.2,9.7,5.45,5.133333,8.357143,9.55,9.066667,13.98571,1.3,1.166667,2.728571,8.282,8.382,8.182,0.2,8.369167,8.463097,8.583518,8.4815,8.580667,8.665857,8.282,8.348333,8.466857,0.055917,0.077,0.038,0.039,0.05725,0.059611,0.055256,0.074,0.073,0.067429,0.0435,0.047333,0.042143,0.49,20.97,8274.857143,1176.813373,0.071
Anvil,6/22/2023,11.81617,13.365,10.357,3.008,32.10624053,32.05007974,28.50623965,23.45759991,0.528708,0.549,0.501,0.048,0.537313,0.545028,0.549417,0.556,0.562333,0.563857,0.516,0.527667,0.535429,1.6,10.2,18.9,17.3,8.3,7.033333,8.628571,15.05,12.66667,14.78571,1.55,1.4,2.471429,8.332,8.382,8.282,0.1,8.307,8.356778,8.569304,8.382,8.448333,8.651714,8.232,8.282,8.452571,0.049958,0.072,0.023,0.049,0.052938,0.054819,0.055423,0.0745,0.073333,0.069286,0.0305,0.036667,0.040714,0,20.53,8502.428571,1176.813373,0.071
Anvil,6/23/2023,12.52433,13.365,11.528,1.837,31.93344053,32.01984053,32.0112,24.38578291,0.519625,0.539,0.498,0.041,0.524167,0.531417,0.545315,0.544,0.550333,0.560429,0.4995,0.51,0.530857,6.3,14.6,23,16.7,12.4,10.4,9.1,20.95,17.7,15.34286,3.95,3.133333,2.871429,8.626208,8.68,8.382,0.298,8.479104,8.413403,8.580524,8.531,8.481333,8.665857,8.332,8.282,8.438429,0.048625,0.067,0.028,0.039,0.049292,0.0515,0.055577,0.0695,0.072,0.069429,0.0255,0.029667,0.040857,0,20.53,8386.142857,1176.813373,0.071
Anvil,6/24/2023,12.66446,13.846,11.334,2.512,31.97664053,31.95504053,32.00544053,24.8362972,0.512167,0.531,0.489,0.042,0.515896,0.520167,0.541185,0.535,0.539667,0.557857,0.4935,0.496,0.524429,7.5,14.9,22.3,14.8,14.75,13.23333,9.157143,22.65,21.4,15.24286,6.9,5.133333,3.1,8.862333,8.879,8.779,0.1,8.744271,8.606847,8.590595,8.7795,8.647,8.665857,8.5805,8.481,8.466714,0.047625,0.067,0.022,0.045,0.048125,0.048736,0.05522,0.067,0.068667,0.071,0.025,0.024333,0.037714,0,20.53,7926,1176.813373,0.071
Anvil,6/25/2023,12.93808,14.038,11.722,2.316,31.89888105,31.93776079,31.9363207,27.28141727,0.506167,0.526,0.482,0.044,0.509167,0.512653,0.534637,0.5285,0.532,0.551143,0.4855,0.489667,0.515857,6.7,14.5,22.4,15.7,14.7,14.66667,9.942857,22.35,22.56667,16.25714,7.1,6.833333,3.657143,9.11,9.176,8.978,0.198,8.986167,8.866181,8.617119,9.0275,8.911667,8.694143,8.8785,8.713,8.495143,0.048083,0.068,0.022,0.046,0.047854,0.048111,0.053304,0.0675,0.067333,0.070429,0.022,0.024,0.033857,0,19.59,7122,1176.813373,0.071
Anvil,6/26/2023,13.24775,14.23,12.11,2.12,31.46688105,31.68288105,31.78080088,30.39922316,0.501125,0.52,0.48,0.04,0.503646,0.506486,0.524881,0.523,0.525667,0.543286,0.481,0.483667,0.504571,7,14.9,22.7,15.7,14.7,14.76667,11.42857,22.55,22.46667,18.34286,6.85,7.066667,4.528571,9.356667,9.472,9.176,0.296,9.233333,9.109667,8.717935,9.324,9.175667,8.793143,9.077,8.977667,8.594429,0.046792,0.07,0.023,0.047,0.047438,0.0475,0.050798,0.069,0.068333,0.070286,0.0225,0.022333,0.029286,0,7.37,6505,1176.813373,0.071
Anvil,6/27/2023,13.44042,14.325,12.401,1.924,31.39775947,31.43232026,31.58784053,31.82482316,0.499042,0.518,0.479,0.039,0.500083,0.502111,0.516107,0.519,0.521333,0.535143,0.4795,0.480333,0.494286,7.9,14.7,21.6,13.7,14.8,14.7,12.88571,22.15,22.23333,20.3,7.45,7.2,5.5,9.63625,9.669,9.472,0.197,9.496458,9.367639,8.886494,9.5705,9.439,8.948571,9.324,9.208667,8.750143,0.047667,0.069,0.023,0.046,0.047229,0.047514,0.049238,0.0695,0.069,0.07,0.023,0.022667,0.025571,0,0.49,6075,1176.813373,0.071
Anvil,6/28/2023,13.37183,14.325,12.11,2.215,31.32,31.35887974,31.39488018,31.72854902,0.489375,0.509,0.465,0.044,0.494208,0.496514,0.50803,0.5135,0.515667,0.527429,0.472,0.474667,0.484857,7.5,14.5,21.4,13.9,14.6,14.7,14.04286,21.5,21.9,21.75714,7.7,7.466667,6.357143,9.849667,9.866,9.768,0.098,9.742958,9.614194,9.110446,9.7675,9.669,9.160571,9.62,9.472,8.976714,0.041792,0.067,0.014,0.053,0.044729,0.045417,0.04722,0.068,0.068667,0.068571,0.0185,0.02,0.022143,0,0,5832,1176.813373,0.071
Anvil,6/29/2023,13.78863,14.9,12.594,2.306,31.38048105,31.35024053,31.36608018,31.6248691,0.485125,0.507,0.454,0.053,0.48725,0.491181,0.501804,0.508,0.511333,0.521429,0.4595,0.466,0.478143,8.6,16.5,24.4,15.8,15.5,15.23333,14.94286,22.9,22.46667,22.54286,8.05,8,7.357143,10.10792,10.161,9.965,0.196,9.978792,9.864611,9.364149,10.0135,9.898667,9.414714,9.8665,9.735,9.217143,0.0385,0.064,0.004,0.06,0.040146,0.042653,0.045583,0.0655,0.066667,0.067429,0.009,0.013667,0.019429,0,0,5589,1176.813373,0.071
Anvil,6/30/2023,14.08063,15.091,12.787,2.304,31.44095947,31.41072026,31.38048018,31.55451466,0.477208,0.501,0.448,0.053,0.481167,0.483903,0.495744,0.504,0.505667,0.516,0.451,0.455667,0.471,9.9,18.3,26.7,16.8,17.4,16.43333,15.47143,25.55,24.16667,23.07143,9.25,8.666667,7.871429,10.33658,10.357,10.161,0.196,10.22225,10.09806,9.608488,10.259,10.128,9.654286,10.063,9.964667,9.471286,0.035833,0.062,0.002,0.06,0.037167,0.038708,0.043756,0.063,0.064333,0.066714,0.003,0.006667,0.015714,0,0,5322,1176.813373,0.071
Anvil,7/1/2023,13.65654,14.613,12.401,2.212,31.0176,31.22927974,31.27968018,31.41750887,0.475875,0.501,0.449,0.052,0.476542,0.479403,0.49056,0.501,0.503,0.511714,0.4485,0.450333,0.465286,9.5,18.5,27.5,18,18.4,17.76667,15.98571,27.1,26.2,23.81429,9.7,9.333333,8.157143,10.49175,10.553,10.455,0.098,10.41417,10.31208,9.841262,10.455,10.357,9.893429,10.308,10.19367,9.710714,0.03725,0.066,0.003,0.063,0.036542,0.037194,0.042274,0.064,0.064,0.066571,0.0025,0.003,0.013,0,0,5116.875,1176.813373,0.071
Anvil,7/2/2023,13.39983,14.325,12.11,2.215,30.456,30.7368,30.97151982,31.21138301,0.469792,0.496,0.442,0.054,0.472833,0.474292,0.485363,0.4985,0.499333,0.507429,0.4455,0.446333,0.459571,7.5,16.1,24.7,17.2,17.3,17.63333,16.21429,26.1,26.3,24.14286,8.5,8.966667,8.271429,10.50808,10.553,10.455,0.098,10.49992,10.44547,10.04099,10.553,10.48767,10.09014,10.455,10.357,9.921714,0.03275,0.061,-0.003,0.064,0.035,0.035278,0.040083,0.0635,0.063,0.065571,-5.64E-18,0.000667,0.009429,0,0,4973.625,1176.813373,0.071
Anvil,7/3/2023,13.33992,14.23,12.11,2.12,30.90528105,30.68064053,30.79296035,31.13115444,0.466917,0.494,0.437,0.057,0.468354,0.470861,0.480476,0.495,0.497,0.503714,0.4395,0.442667,0.453429,7.6,17,26.4,18.8,16.55,17.2,16.51429,25.55,26.2,24.67143,7.55,8.2,8.357143,10.52033,10.553,10.455,0.098,10.51421,10.50672,10.20723,10.553,10.553,10.24457,10.455,10.455,10.10443,0.029958,0.063,-0.007,0.07,0.031354,0.033319,0.037679,0.062,0.063333,0.064571,-0.005,-0.00233,0.005143,0,0,4916.25,1176.813373,0.071
Anvil,7/4/2023,13.17913,14.23,11.916,2.314,31.06944053,30.98736079,30.81024053,31.08425173,0.462583,0.487,0.432,0.055,0.46475,0.466431,0.475268,0.4905,0.492333,0.499286,0.4345,0.437,0.446714,8.5,17.6,26.6,18.1,17.3,16.9,16.92857,26.5,25.9,25.38571,8.05,7.866667,8.442857,10.58567,10.651,10.553,0.098,10.553,10.53803,10.34286,10.602,10.58567,10.38486,10.504,10.48767,10.25886,0.025958,0.057,-0.012,0.069,0.027958,0.029556,0.034577,0.06,0.060333,0.062857,-0.0095,-0.00733,0.000143,0,0,4858.875,1176.813373,0.071
Anvil,7/5/2023,12.97838,13.942,11.819,2.123,30.59424053,30.83184053,30.8563207,30.98057181,0.456292,0.484,0.423,0.061,0.459438,0.461931,0.470542,0.4855,0.488333,0.495714,0.4275,0.430667,0.440714,12.3,20,27.6,15.3,18.8,18.2,17.71429,27.1,26.86667,26.27143,10.4,9.466667,9.128571,10.602,10.651,10.553,0.098,10.59383,10.56933,10.45033,10.651,10.61833,10.497,10.553,10.52033,10.371,0.020458,0.052,-0.019,0.071,0.023208,0.025458,0.03153,0.0545,0.057333,0.060714,-0.0155,-0.01267,-0.00457,0,0,4801.5,1176.813373,0.071
Anvil,7/6/2023,13.01479,13.942,11.916,2.026,30.3696,30.48192026,30.67776035,30.83616023,0.451583,0.482,0.421,0.061,0.453938,0.456819,0.46575,0.483,0.484333,0.492143,0.422,0.425333,0.436,13,21.5,30,17,20.75,19.7,18.42857,28.8,28.06667,27.07143,12.65,11.26667,9.757143,10.71163,10.748,10.651,0.097,10.65681,10.6331,10.53658,10.6995,10.68333,10.58086,10.602,10.58567,10.469,0.01725,0.051,-0.02,0.071,0.018854,0.021222,0.028494,0.0515,0.053333,0.058857,-0.0195,-0.017,-0.008,0,0,4744.125,1176.813373,0.071
Anvil,7/7/2023,13.11167,13.846,12.207,1.639,30.20544053,30.28752026,30.38976035,30.65965752,0.448875,0.472,0.42,0.052,0.450229,0.45225,0.461702,0.477,0.479333,0.488,0.4205,0.421333,0.432,11.5,19.7,27.9,16.4,20.6,20.4,18.62857,28.95,28.5,27.24286,12.25,12.26667,9.985714,10.895,10.944,10.748,0.196,10.80331,10.73621,10.61635,10.846,10.781,10.66471,10.6995,10.65067,10.55286,0.016292,0.045,-0.019,0.064,0.016771,0.018,0.025702,0.048,0.049333,0.056429,-0.0195,-0.01933,-0.011,0,0,4686.75,1176.813373,0.071
Anvil,7/8/2023,12.91067,13.654,11.916,1.738,30.24864053,30.22704053,30.27456035,30.54980617,0.448583,0.474,0.415,0.059,0.448729,0.449681,0.457804,0.473,0.476,0.484143,0.4175,0.418667,0.427143,9.3,17.6,25.9,16.6,18.65,19.6,18.5,26.9,27.93333,27.01429,10.4,11.26667,9.957143,10.9925,11.041,10.944,0.097,10.94375,10.86638,10.68789,10.9925,10.911,10.73443,10.846,10.781,10.62271,0.01575,0.045,-0.024,0.069,0.016021,0.016431,0.022631,0.045,0.047,0.053429,-0.0215,-0.021,-0.01486,0,0,4629.375,1176.813373,0.071
Anvil,7/9/2023,12.7215,13.654,11.819,1.835,29.97215947,30.1104,30.14208018,30.48068609,0.442958,0.468,0.415,0.053,0.445771,0.446806,0.45397,0.471,0.471333,0.480143,0.415,0.416667,0.423286,8.6,17.1,25.7,17.1,17.35,18.13333,18.64286,25.8,26.5,27.15714,8.95,9.8,10.11429,11.04533,11.139,10.944,0.195,11.01892,10.97761,10.76464,11.09,11.04133,10.81814,10.944,10.87867,10.69257,0.010458,0.041,-0.026,0.067,0.013104,0.014167,0.019446,0.043,0.043667,0.050571,-0.025,-0.023,-0.01814,0,0,4589.625,1176.813373,0.071
Anvil,7/10/2023,12.81446,13.461,12.013,1.448,30.34368105,30.15792026,30.18816035,30.40045752,0.443,0.462,0.419,0.043,0.442979,0.444847,0.450554,0.465,0.468,0.475571,0.417,0.416333,0.420714,9.1,17.3,25.5,16.4,17.2,17.33333,18.68571,25.6,25.7,27.02857,8.85,9,10.32857,11.15913,11.236,11.041,0.195,11.10223,11.06565,10.85589,11.1875,11.13867,10.91571,10.9925,10.97633,10.77629,0.009208,0.031,-0.021,0.052,0.009833,0.011806,0.016482,0.036,0.039,0.046,-0.0235,-0.02367,-0.02014,0,0,4567.5,1176.813373,0.071
Anvil,7/11/2023,12.40754,13.173,11.528,1.645,30.18815947,30.26592026,30.168,30.27456023,0.439958,0.466,0.409,0.057,0.441479,0.441972,0.447321,0.464,0.465333,0.472571,0.414,0.414333,0.417429,8.4,14.3,20.3,11.9,15.8,16.23333,18.21429,22.9,23.83333,26.12857,8.75,8.7,10.31429,11.18746,11.334,11.041,0.293,11.17329,11.13064,10.94186,11.285,11.23633,11.01329,11.041,11.00867,10.846,0.008208,0.039,-0.027,0.066,0.008708,0.009292,0.013946,0.035,0.037,0.043429,-0.024,-0.02467,-0.02229,0,0,4207.5,1176.813373,0.071
